,0
0,"Upon arrival they didn’t have a table for us and would split us. But we said no. She said it would be a “few” minutes. Upon clarifying, a “few” minutes ended up being 25 minutes. If you don’t like Smokey foods, there is nothing on...More"
1,"Excellent food and service. I ordered beef brisket and pulled pork, twice baked taters, pit beans, and Mac and cheese, as well as 6 orders of chicken wings , most delicious! All of those who ate loved the dinner that I provided. They expressed how...More"
2,"This quaint busy hub serves the best smoked meat in the perfect ""lunch for lady"" small size! Hubby relished the He-Man sized sandwich! Happy we stopped in!"
3,"When we arrived, we saw a huge line outside waiting to get in. We were pleasantly surprised at how quick they were able to seat us. The food was prompt, considering how busy they were, and it tasted amazing. Great ambiance and cheerful service."
4,"This was the first visit for all of us. It was very good.  I had the pulled pork and the polish sausage along with the green beans and twice backed potato casserole.  The polish is ""hot"" so if you don't like the fire, don't order...More"
5,Two co-workers and I were in town on business and were told we had to stop by Black Dog for lunch. We could tell as soon as we got out of the car it was going to be good: it smelled fantastic in the parking...More
6,"Since they opened this restaurant in a tiny shotgun style former bar in downtown Urbana I have loved their food. Not many places have turkey and chicken that is not dried out, which they do well, and I love the Georgia Peach Sauce. The smoked...More"
7,"A recommendation from my daughter.  I was very pleasantly impressed by how good theIr BBQ food.  They unfortunately were sold out of the burnt ends when we went, which my daughter highly recommends.  You can’t go wrong with the other selections."
8,"The food was really good and they have a vast selection of draft beers (including local beers from Urbana). The waiter was even kind enough to give us a little taste of the beers we were contemplating ordering.

Overall, it was a positive experience and...More"
9,We kept hearing great things about this place and finally decided to try it out. It’s a very small location but we were there early in the evening so the wait was only a few minutes. The waitress was very friendly and quick to helping...More
10,"Black Dog has good BBQ, no doubt. It blows my mind that people travel here from all over the state for it though! There’s better BBQ to be had within CU. It’s a small place, hard to get seating. It’s easier to order take out."
11,"A happy accident.  I was planning on going to the downtown Champaign Black Dog, and we ended at the Urbana location.  I'm so glad we did.  Our experience was wonderful from walk in to leaving. We ordered burnt ends, chips and salsa, two meat platter(...More"
12,"On our way to Nashville and wanted lunch. Search on TripAdvisor and Black Dog came up as #2 of 200ish.  Not sure what #1 is, but we would definitely come back.
Recommend the Burnt Ends, Tri Tip and Brisket.  We got there a little after...More"
13,"Black Dog is by far the best place in Champaign Urbana for smoked meats and fish. Serve is equally good, and we like the Urbana location best."
14,My business partner and I get to Champaign-Urbana on business on a recurring basis. We make it a point to visit the Black Dog on every trip.They have a great selection of smoked meats and a great selection of homemade sauces.
15,"My wife and I don't relish the thought of eating barbecue in a restaurant. It's messy enough at home, two or three napkins, sometimes more. But we have heard so many good things about Black Dog Smoke & Ale House that when we had an...More"
16,"I tried the brisket, my companions both had the pork sandwich.  All was excellent.  Applesauce was declared wonderful as well. Great service—we enjoyed discussing music with our server and will definitely go back!"
17,Both of the black dogs in Champaign are great. Can’t go wrong. Jambalaya is really good!  Ribs are never a bad idea either.
18,The food is always great at Black Dog! But they serve a fantastic iced tea from a local coffee roastery that is excellent. Would go back time and time again for the tea and the dood;!
19,"See above. Ribs were a bit dry, kind of loud place. I enjoyed the beer but it's not on my top list if places to go back when l visit Champaign-Urbana area."
20,"We are here tonight as a family of 4.  Our kids are 14 &11.  It was delicious- as we expected.  We had chips n salsa this time, the chips were homemade - it was a nice touch!  They were already out of burnt ends st...More"
21,"Food, service GREAT!  LOVE Black Dog!  We had the burnt end appetizer and Brisket Hash.  So good.  Ample parking.  The servers were friendly and capable.  I am so in love with their coffee rub."
22,Went there with a somewhat large group for the size restaurant that it is (eight people).  The manager was quite helpful in making sure that we got seated as soon as we could even though it meant holding a table open for twenty minutes until...More
23,Great place for smoked food and service is excellent. I especially like the smoked catfish and cornbread.
24,"Ordered the pork belly, jambalaya, deep fried pickled okra and a blood Mary.  Delicious.  Can’t wait to go back for more."
25,"The meat was delicious and perfectly cooked. The portions are also great. We went on a Saturday night at 9 PM, and they had already ran out of many items on menu by then. So, I recommend that you visit the place earlier (especially on...More"
26,Good food. I like that the Mac and cheese was real- not nacho cheese and soggy noodles. The only negative was that the pork had too much smoke flavor for my liking.
27,"Maybe it is because I had high expectations as I heard great things about this place, but I did not enjoy it much.  We ordered a sampler of the barbecue sauces to try to figure out which one we wanted as the sauce on our...More"
28,"At my daughter's insistence, we stopped there as part of our must-see University of Illinois holiday visit. So glad she made the right call. Tender to the fork portions of Beef Brisket and Burnt Ends made me a believer in a hurry. Very welcoming interior...More"
29,"Although they do have the impossible burger, as somebody who does not like the taste of meat, there is not much to eat. There are some sides which are vegetarian, but they're not great."
30,"Very, very good - excellent even . . . for central illinois.   Portion sizes could is a bit of beefing up (pun fully intended)"
31,"We were traveling to Iowa from Virginia and stayed in Urbana Champaign, Illinois. Using our trusted Trip Advisor app we found the #1 rated restaurant was near our Hotel. The venue seats about 60 people and you write your name on a sketch pad when...More"
32,"The best local bbq.   Everything is amazing.  Smoked salmon on fresh greens, burnt ends, pulled chicken, brisket sandwiches.   Lots of sauces. Lots of joy.  Corn bread, cole slaw—all the sides are great.  It’s not cheap but I’ve never had a bad meal here. The Champaign...More"
33,"Good food and beer! Out of some food, but that happens. It is a sign that the food is fresh. The service was what you can expect on a Monday evening an hour before closing."
34,WE had made a couple of attempts to visit this establishment.  We do not like to wait an hour to eat however so we made other arrangements.  We finally made the cut to be seated at this establishment.  We were seated at the bar.  It...More
35,"Neat old building.  Try the fried polish sausage sandwich, the twice baked potato casserole, and the burger.  They are great!  Iced tea was fresh and very good.  Service was also good.  Prices weren't outrageous.  Will certainly go back again."
36,"Delicious pineapple pepper margarita, ribs & smoked turkey sandwich.  Wait for a large party was not insane.  Will return to black dog every time we visit our son st u of I.  Ranch dressing is delicious too!"
37,"Really the meat isn't bad, but, while they have a selection of sauces no e of them are very good. The sides are average. Food prices are reasonable. Service was very good. Atmosphere is nice. Parking is better at the Champaign store than the urbana...More"
38,"Well if you want very greasy, saucy, dripping food this is the place for you. I wanted to go a little lighter so I ordered the chicken salad sandwich. It came on bread that was literally soaked through in butter. The chicken salad was way...More"
39,"I LOVE the burnt ends & sauce.  Husband loves the burger with brisket meat on top.  Wonderful eats.  Slaw is not their thing, but the BBQ is the best."
40,"Great smoked meats!!  Love the burnt ends, it’s all good!! My son always wants to go to Black Dig when he comes home to visit!!!"
41,"I ate here recently with my nephew.  I have lived in Alabama for 40 years and he grew up in North Carolina. Being from two major BBQ states, we were somewhat skeptical about a BBQ joint in Urbana, Illinois. I am happy to report that...More"
42,"Eat their twice, everything was good. Get their early as I was told sometimes they run out of some meat choices."
43,My wife and I went for lunch based on a recommendation by a friend...be sure and ask what other kinds of sauce they have...we're not fans of North Carolina Sauce we're fans of Kansas City sauce and they do have a Salinas sauce that is...More
44,"I was supposed to be going to the Black Dog Smokehouse in Champaign but Google seemed to think I should go to Urbana.  Once I got there, I didn't mind at all.  The staff was very friendly and the service was pretty quick.  

My daughter...More"
45,"Great BBQ at a reasonable price, love the brisket! They have a excellent selection of sauces, sweet, hot, ect. I also enjoy the sweet potato fries."
46,"Impossible Burger was smoked & yummy... sweet potato fries perfect! The TexSalad was good, look out for the jalapeños! Raspberry Marguerita & Stout beer were perfect. Just passing thru, glad we found this place!"
47,This is an excellent bbq place. I tried their famed burnt ends and really liked it. The urbana one is older but also smaller. If you want to try the burnt ends the champaign one might be your best bet. I also liked their sauce...More
48,Really love this small BBQ joint. The cornbread was insane. I absolutely loved it. Had a wonderful smoke flavor to it. I had the combo platter with ribs and pulled pork! Very very good. Highly recommend!
49,"This place had a nice beer selection and excellent BBQ. You had a very good choice of meats and sauces. We sat on the covered outdoor patio, which got you away from TVs and gave you a view of trains going by. Don’t miss the...More"
50,Excellent food and service. Worth the short drive off the Interstate. Catfish sandwich was delicious. Asked to try the brisket which was wonderful.
51,You often must wait for a table but the wait is worth it. Very good bbq of all kinds. Arrive early in order to get burnt ends before they sell out!
52,"Love their brisket and ribs. There could be a line at times, so we always order takeout. Love the food. They also have a nice bar for the inside seating."
53,Best barbecue place in Champaign - Urbana...always my choice when in the area. This time it was after golfing at Stone Creek.
54,"Reliably good BBQ, served quickly. Chicken, turkey both are good. Multiple sauces are quite tasty; side dishes are also well-done. Often have to wait while students are in town and staff will not seat folks until the entire party arrives. Have been there 3 times...More"
55,"First time there. Went with a ""local"" who highly recommended  this place. I was not disappointed. I ordered the combo platter of ribs, brisket and pulled pork. All were just wonderful.. cooked perfectly, great sauces. Some of the best barbecue I have had in years!!!...More"
56,"Visited my daughter in Champaign, Ill.  Ate at the Black Dog, have eaten there before.  And again it was excellent.  Had the 3 meat meal; burnt ends, pork belly and ribs.  All were delicious.  With just enough fat without being greasy, considering the pork belly...More"
57,I loved the combo platter of pulled pork and brisket!  The meat was excellent! I enjoyed the recommended mustard barbecue sauce! The only problem I had with the Black Dog muffin and twice baked casserole was the lack of more!  Excellent plate for a dine-in...More
58,Good beer and great burgers and bbq. Love everything that comes out of the kitchen. Love IPAs and they have those.
59,"Had their pulled pork, Mac and Cheese, and salad. It was good as this was the first time that I had eaten there. I would definitely eat there again and would
Like to get a half rack of ribs."
60,"We went to Campaign  to visit our son over Easter.  He said the guys at work suggested he check this place out.  I was feeling daring so I got the Chicken Salad  Sandwich.  It was great.  Not too spicy, perfectly creamy and served on toasted...More"
